Source,Target,Weight
1,2,1
1,3,1
142,bollinatura,1
142,giallo,1
142,opposizioni,1
142,testo,1
16,ancora,1
16,due,1
16,errori,1
16,milioni,1
16,quasi,1
16,quota,1
18,mesi,1
19,48,1
19,Roma,1
19,diario,1
19,finiremmo,1
19,fredde,1
19,notti,1
19,ore,1
19,senza,1
19,soluzione,1
19,strade,1
19,stringersi,1
19,trovare,1
2,3,1
2,apre,1
2,condono,1
2,ipotesi,1
2,ripartire,1
2,ultimi,1
2,vorrei,1
2012,lavoriamo,1
2012,oscurità,1
2015,coronavirus,1
2015,scienziati,1
2015,vedere,1
21,15,1
24,2020,1
24,marzo,1
3,alimentari,1
3,aprile,1
3,aziende,1
3,difficile,1
3,dopoguerra,1
3,farmacie,1
3,premier,1
3,sfida,1
3,strategiche,1
400,M5S,1
400,Pd,1
400,controlla,1
400,fondi,1
400,miliardi,1
400,milioni,1
400,pochi,1
400,scontro,1
48,finiremmo,1
48,ore,1
48,senza,1
5,diretta,1
5,inseguimenti,1
5,pedone,1
5,polemica,1
5,spiaggia,1
50,confronto,1
50,intenso,1
50,mascherine,1
50,mila,1
50,miliardi,1
50,opposizioni,1
51,assunti,1
51,nuovi,1
51,strada,1
51%,italiani,1
55,bambini,1
55,liberare,1
5S,destra,1
5S,dialogo,1
5Stelle,favorevoli,1
5Stelle,stretta,1
8,16,1
8,ancora,1
8,aprile,1
8,due,1
8,errori,1
8,milioni,1
8,quasi,1
8,quota,1
Agenzia Entrate,aiuti,1
Agenzia Entrate,condono,1
Agenzia Entrate,lavora,1
Agenzia Entrate,nero,1
Bergamo,duro,1
Berlusconi,IV,1
Berlusconi,Mes,1
Berlusconi,approvare,1
Berlusconi,clamoroso,1
Berlusconi,ddl,1
Berlusconi,errore,1
Berlusconi,finita,1
Berlusconi,nazionale,1
Berlusconi,rinuncia,1
Berlusconi,rompono,1
Berlusconi,tregua,1
Berlusconi,unità,1
Bloccate,50,1
Bloccate,Gdf,1
Bloccate,mascherine,1
Bloccate,mila,1
Bottura,Salvini,1
Bottura,WhatsApp,1
Bottura,amici,1
Bottura,inoltro,1
Bottura,limiti,1
Bottura,pochi,1
Bottura,poco,1
Bottura,spam,1
Buoni,guerra,1
Castel Volturno,Cas,1
Castel Volturno,centri,1
Castel Volturno,quarantena,1
Chiesa,popolo,1
Ciriaco,Italia,1
Ciriaco,Mes,1
Ciriaco,Repubblica,1
Ciriaco,inadeguato,1
Ciriaco,interessata,1
Civitavecchia Tedesco,altre,1
Civitavecchia Tedesco,attracchi,1
Civitavecchia Tedesco,emergenze,1
Civitavecchia Tedesco,gestire,1
Civitavecchia Tedesco,possiamo,1
Civitavecchia Tedesco,sanitarie,1
Conte,2012,1
Conte,3,1
Conte,51%,1
Conte,Buoni,1
Conte,Ciriaco,1
Conte,Draghi,1
Conte,Firma,1
Conte,Gualtieri,2
Conte,Italia,1
Conte,Lega,1
Conte,M5s,2
Conte,Mattarella,1
Conte,Meloni,2
Conte,Mes,3
Conte,Parlamento,1
Conte,Renzi,2
Conte,Repubblica,1
Conte,Salvini,4
Conte,Tg,1
Conte,Ue,1
Conte,alimentari,1
Conte,approvato,1
Conte,aprile,2
Conte,aziende,1
Conte,bandiera,1
Conte,bene,1
Conte,buca,1
Conte,calano,1
Conte,censuro,1
Conte,centrodestra,2
Conte,comunicazione,1
Conte,critiche,1
Conte,decreto,1
Conte,differenza,1
Conte,difficile,1
Conte,discutere,1
Conte,dopoguerra,1
Conte,edilizia,1
Conte,falchi,1
Conte,farmacie,1
Conte,fiducia,1
Conte,fino,1
Conte,firmeranno,1
Conte,fiscale,1
Conte,furioso,1
Conte,governo,1
Conte,gradito,1
Conte,gravissimo,1
Conte,grazie,1
Conte,guerra,1
Conte,imprese,1
Conte,inadeguato,1
Conte,ingiustificato,1
Conte,interessata,1
Conte,intervenga,1
Conte,italiani,1
Conte,lavoriamo,1
Conte,leader,2
Conte,lettere,1
Conte,limitazioni,1
Conte,liquidità,1
Conte,mai,1
Conte,mezzo,1
Conte,negativo,1
Conte,notte,1
Conte,nuove,1
Conte,opposizioni,2
Conte,oscurità,1
Conte,ottobre,1
Conte,polemiche,1
Conte,politica,1
Conte,politiche,1
Conte,posta,1
Conte,predecessori,1
Conte,premier,2
Conte,presto,1
Conte,referendum,1
Conte,responsabilità,1
Conte,ringraziato,1
Conte,risponde,1
Conte,salvare,1
Conte,sanatoria,1
Conte,saputo,1
Conte,scorsa,1
Conte,settembre,1
Conte,sfida,1
Conte,sfiducia,1
Conte,stato,1
Conte,strategiche,1
Conte,tampone,1
Conte,telefona,1
Conte,toccata,1
Conte,trasmesso,1
Conte,tv,1
Conte,unanime,1
Conte,vedrà,1
Conte,virus,1
Conte,vite,1
Conte La,destra,1
Conte La,punta,1
Conte La,tecnici,1
Covid,19,1
Covid,48,1
Covid,essere,1
Covid,finiremmo,1
Covid,motivo,1
Covid,ore,1
Covid,senza,1
Covid,soluzione,1
Covid,trovare,1
Cura Italia,142,1
Cura Italia,Senato,1
Cura Italia,bollinatura,1
Cura Italia,cabina,1
Cura Italia,farsa,1
Cura Italia,fiducia,1
Cura Italia,giallo,1
Cura Italia,numero,1
Cura Italia,opposizioni,1
Cura Italia,portabilità,1
Cura Italia,pressing,1
Cura Italia,regia,1
Cura Italia,telefono,1
Cura Italia,testo,1
Cura Italia,velocemente,1
Cura Italia,vieta,1
Cura Italia,vota,1
Draghi,FT,1
Draghi,aiuto,1
Draghi,differenza,1
Draghi,felice,1
Draghi,giochi,1
Draghi,intervista,1
Draghi,nascere,1
Draghi,palazzo,1
Draghi,serve,1
Edi Rama,Conte,1
Edi Rama,bandiera,1
Edi Rama,bipartisan,1
Edi Rama,elogio,1
Edi Rama,italiana,1
Edi Rama,politica,1
Edi Rama,posta,1
Est,andrà,1
Est,avanti,1
Est,lockdown,1
Est,pochi,1
Est,resisteranno,1
Est,settimane,1
Fase,2,1
Fase,apre,1
Fase,condono,1
Fase,ipotesi,1
Fase,ripartire,1
Fase,ultimi,1
Fase,vorrei,1
Firma,M5s,1
Foa,Rai Palazzo Chigi,1
Foa,diktat,1
Foa,mai,1
Foa,risarcire,1
Foa,sovranisti,1
Foa,tv,1
Franceschini,Conte,1
Franceschini,comunicazione,1
Franceschini,critiche,1
Franceschini,difende,1
Franceschini,mai,1
Franceschini,predecessori,1
Franceschini,responsabilità,1
Franceschini,ringraziato,1
Franceschini,toccata,1
Gdf,50,1
Gdf,mascherine,1
Gdf,mila,1
Giambellino,berretto,1
Giambellino,premier,1
Giambellino,saputo,1
Giambellino,servizi,1
Giambellino,sociali,1
Giambellino,spiega,1
Governo,Mes,1
Governo,proposta,1
Governo,revoca,1
Governo,trattato,1
Governo,voti,1
Governo,vuole,1
Gualtieri,5S,1
Gualtieri,Draghi,1
Gualtieri,Malumori,1
Gualtieri,Meloni,1
Gualtieri,Mes,1
Gualtieri,Parlamento,1
Gualtieri,Renzi,1
Gualtieri,accordo,1
Gualtieri,attacca,1
Gualtieri,destra,1
Gualtieri,differenza,1
Gualtieri,firmeranno,1
Gualtieri,grazie,1
Gualtieri,mezzo,1
Gualtieri,politica,1
Gualtieri,sfiducia,1
Gualtieri,tradimento,1
Gualtieri,unanime,1
Gualtieri,vince,1
IV,Mes,1
IV,approvare,1
IV,ddl,1
IX,feste,1
IX,mascherine,1
IX,vietate,1
Il M5s,stabile,1
Inps,16,1
Inps,8,1
Inps,accesso,1
Inps,ancora,1
Inps,cittadini,1
Inps,due,1
Inps,errori,1
Inps,milioni,1
Inps,quasi,1
Inps,quota,1
Irini,Libia,1
Irini,armi,1
Irini,embargo,1
Irini,garantirà,1
Irini,missione,1
Italia,Berlusconi,1
Italia,Bruxelles,1
Italia,Lega,1
Italia,Mattarella,1
Italia,Meloni,1
Italia,Roma,1
Italia,Salvini,1
Italia,contagi,1
Italia,emendamenti,1
Italia,interessata,1
Italia,monito,1
Italia,morti,1
Italia,news,1
Italia,nonostante,1
Italia,oggi,1
Italia,pioggia,1
Italia,situazione,1
Italia,tutte,1
Juncker,coronabond,1
Juncker,migliore,1
Juncker,solidarietà,1
La7,15,1
La7,21,1
Landini,Est,1
Landini,Nord,1
Landini,andrà,1
Landini,avanti,1
Landini,lockdown,1
Landini,pochi,1
Landini,resisteranno,1
Landini,settimane,1
Lateral,19,1
Lateral,48,1
Lateral,8,1
Lateral,Bottura,1
Lateral,Covid,1
Lateral,Letta,1
Lateral,Luca Bottura,1
Lateral,Salvini,1
Lateral,WhatsApp,1
Lateral,amici,1
Lateral,aprile,1
Lateral,casalinga,1
Lateral,crisi,1
Lateral,finiremmo,1
Lateral,inoltro,1
Lateral,integrale,1
Lateral,limiti,1
Lateral,ore,1
Lateral,pochi,1
Lateral,poco,1
Lateral,rassegna,1
Lateral,senza,1
Lateral,soluzione,1
Lateral,spam,1
Lateral,stampa,1
Lateral,trovare,1
Le Monde,attacca,1
Le Monde,vergogna,1
Lega,51%,1
Lega,5S,1
Lega,Berlusconi,1
Lega,Conte,1
Lega,Cura Italia,1
Lega,Il M5s,1
Lega,M5s,1
Lega,Meloni,1
Lega,Pd,1
Lega,Pressing,1
Lega,ancora,1
Lega,anti,1
Lega,attacca,1
Lega,boicotta,1
Lega,bonus,1
Lega,decreti,1
Lega,destra,1
Lega,dialogo,1
Lega,emendamento,1
Lega,famiglia,1
Lega,gradito,1
Lega,intesa,1
Lega,italiani,1
Lega,iter,1
Lega,leader,1
Lega,medici,1
Lega,numero,1
Lega,oggi,1
Lega,portabilità,1
Lega,propongono,1
Lega,sale,1
Lega,semplificato,1
Lega,sempre,1
Lega,stabile,1
Lega,telefono,1
Lega,vieta,1
Lega,virus,1
Leonardo,2015,1
Leonardo,cinese,1
Leonardo,coronavirus,1
Leonardo,esperimento,1
Leonardo,scienziati,1
Leonardo,vedere,1
Letta,19,1
Letta,48,1
Letta,Covid,1
Letta,crisi,1
Letta,finiremmo,1
Letta,ore,1
Letta,senza,1
Letta,soluzione,1
Letta,trovare,1
Lombardia,Le Monde,1
Lombardia,Verdi,1
Lombardia,anziani,1
Lombardia,attacca,1
Lombardia,contagiati,1
Lombardia,davanti,1
Lombardia,esposto,1
Lombardia,pazienti,1
Lombardia,possiamo,1
Lombardia,residenze,1
Lombardia,strage,1
Lombardia,tacere,1
Lombardia,vergogna,1
Luca Bottura,8,1
Luca Bottura,aprile,1
Luca Bottura,integrale,1
Luzzati,Repubblica,1
Luzzati,articoli,1
Luzzati,ispirate,1
Luzzati,italiani,1
Luzzati,medici,1
Luzzati,vignette,1
M5S,Meloni,1
M5S,Pd,1
M5S,Salvini,1
M5S,controlla,1
M5S,destra,1
M5S,distanzia,1
M5S,fondi,1
M5s,Cura Italia,1
M5s,Salvini,1
M5s,Senato,1
M5s,Tg,1
M5s,attacca,1
M5s,bagarre,1
M5s,centrodestra,1
M5s,emendamento,1
M5s,incoerenza,1
M5s,ingiustificato,1
M5s,monumento,1
M5s,numero,1
M5s,portabilità,1
M5s,propongono,1
M5s,scatta,1
M5s,telefono,1
M5s,vieta,1
Maio,dissoci,1
Maio,partner,1
Maio,vergognosi,1
Malumori,5S,1
Mattarella,5Stelle,1
Mattarella,Bergamo,1
Mattarella,accettiamo,1
Mattarella,caos,1
Mattarella,collaborare,1
Mattarella,contagio,1
Mattarella,devono,1
Mattarella,duro,1
Mattarella,favorevoli,1
Mattarella,governo,1
Mattarella,gravissimo,1
Mattarella,istituzioni,1
Mattarella,leader,1
Mattarella,opposizione,1
Mattarella,opposizioni,1
Mattarella,riparo,1
Mattarella,sente,1
Mattarella,sindaco,1
Mattarella,solidarietà,1
Mattarella,solitudine,1
Mattarella,stretta,1
Mattarella,tenere,1
Mattarella,unità,1
Mef,necessari,1
Mef,polemiche,1
Meloni,2012,1
Meloni,5S,1
Meloni,5Stelle,1
Meloni,Berlusconi,1
Meloni,Malumori,1
Meloni,Mattarella,1
Meloni,Mes,1
Meloni,Salvini,1
Meloni,appella,1
Meloni,approvato,1
Meloni,distanzia,1
Meloni,favorevoli,1
Meloni,lavoriamo,1
Meloni,leghista,1
Meloni,notte,1
Meloni,oscurità,1
Meloni,saputo,1
Meloni,scorsa,1
Meloni,stato,1
Meloni,stretta,1
Meloni,tradimento,1
Meloni,trasmesso,1
Mentana,Conte,1
Mentana,buca,1
Mentana,censuro,1
Mentana,lettere,1
Mentana,polemiche,1
Mentana,politiche,1
Mentana,replica,1
Mentana,tv,1
Mes,2012,1
Mes,Berlusconi,1
Mes,Eurobond,1
Mes,Italia,1
Mes,Meloni,1
Mes,Parlamento,1
Mes,Salvini,1
Mes,adeguato,1
Mes,approvato,1
Mes,bisogno,1
Mes,clamoroso,1
Mes,condizionalità,1
Mes,errore,1
Mes,inadeguato,1
Mes,interessata,1
Mes,lavoriamo,1
Mes,morbido,1
Mes,notte,1
Mes,oscurità,1
Mes,proposta,1
Mes,revoca,1
Mes,rinuncia,1
Mes,sanità,1
Mes,scorsa,1
Mes,senza,1
Mes,sfiducia,1
Mes,soldi,1
Mes,stato,1
Mes,trattato,1
Mes,voti,1
Milano,annuncia,1
Milano,bambini,1
Milano,errore,1
Milano,ferma,1
Milano,genitori,1
Milano,ospitare,1
Milano,ricoverati,1
Milano,stato,1
Milano,struttura,1
Nord,Est,1
Nord,andrà,1
Nord,avanti,1
Nord,errore,1
Nord,lockdown,1
Nord,pochi,1
Nord,politico,1
Nord,resisteranno,1
Nord,settimane,1
Orban,Pd,1
Orban,Salvini,1
Orban,autoritario,1
Orban,difende,1
Orban,parte,1
Orban,regime,1
Orban,scelta,1
Orbán,europei,1
Orbán,fondi,1
Orbán,record,1
Paese,cambi,2
Paese,caos,2
Paese,civile,2
Paese,idea,2
Paese,ora,2
Palazzo Chigi,aprile,1
Palazzo Chigi,coinvolte,1
Palazzo Chigi,decreto,1
Palazzo Chigi,distanze,1
Palazzo Chigi,opposizioni,1
Palazzo Chigi,restano,1
Papa,Draghi,1
Papa,disse,1
Papa,dopo,1
Papa,proposta,1
Papa,serve,1
Pasqua,Dio,1
Pasqua,Salvini,1
Pasqua,bagno,1
Pasqua,basta,2
Pasqua,buon,1
Pasqua,crociata,1
Pasqua,fedele,1
Pasqua,polemica,1
Pasqua,pregare,1
Pasqua,scienza,2
Pasqua,serve,1
Pasqua,sola,1
Pasqua,subito,1
Pasqua,ultima,1
Pd,51%,1
Pd,5S,2
Pd,Conte,1
Pd,Lega,1
Pd,M5S,1
Pd,Meloni,1
Pd,Salvini,2
Pd,attaccano,2
Pd,autoritario,1
Pd,controlla,1
Pd,crescita,1
Pd,destra,2
Pd,dialogo,1
Pd,difende,1
Pd,diritto,2
Pd,distanzia,1
Pd,fondi,1
Pd,gradito,1
Pd,italiani,1
Pd,leader,1
Pd,parte,1
Pd,regime,1
Pd,scelta,1
Pd,spesa,2
Perilli,M5s,1
Perilli,Salvini,1
Perilli,Senato,1
Perilli,attacca,1
Perilli,bagarre,1
Perilli,incoerenza,1
Perilli,monumento,1
Perilli,scatta,1
Pietro,Papa,1
Pietro,scelta,1
Pietro,serve,1
Pietro,vuota,1
Pio,IX,1
Pio,feste,1
Pio,mascherine,1
Pio,vietate,1
Pomeriggio,5,1
Pomeriggio,diretta,1
Pomeriggio,inseguimenti,1
Pomeriggio,pedone,1
Pomeriggio,polemica,1
Pomeriggio,spiaggia,1
Pressing,5S,1
Pressing,Pd,1
Pressing,destra,1
Pressing,dialogo,1
R,Giambellino,1
R,berretto,1
R,premier,1
R,saputo,1
R,servizi,1
R,sociali,1
R,spiega,1
R,via,1
Rai Palazzo Chigi,diktat,1
Rai Palazzo Chigi,mai,1
Rai Palazzo Chigi,tv,1
Renzi,Conte La,1
Renzi,Draghi,1
Renzi,Lega,1
Renzi,accelera,1
Renzi,assedio,1
Renzi,destra,1
Renzi,differenza,1
